이름,비고,저자,파일과 미디어,출판사,문해력 수준,분야,상태,시작,완료,연,월,읽은 기간,읽은 일수,평점,한 줄 평,회독수,읽은 사람,이번 년도에 읽을 책,등록여부,출판일
빵 사러 가는 길에,나탈리 다르장,나탈리 다르장,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%88%E1%85%A1%E1%86%BC_%E1%84%89%E1%85%A1%E1%84%85%E1%85%A5_%E1%84%80%E1%85%A1%E1%84%82%E1%85%B3%E1%86%AB_%E1%84%80%E1%85%B5%E1%86%AF%E1%84%8B%E1%85%A6.jpg,,초2,그림책,읽기 전,,,,,,,,,,,No,No,
도둑을 잡아라!,,박정섭,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%83%E1%85%A9%E1%84%83%E1%85%AE%E1%86%A8%E1%84%8B%E1%85%B3%E1%86%AF_%E1%84%8C%E1%85%A1%E1%86%B8%E1%84%8B%E1%85%A1%E1%84%85%E1%85%A1!.jpg,,"초3, 초4",그림책,읽기 전,,,2026년,,,,,,,,Yes,No,
톰 소여의 모험,,마크 트웨인,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%90%E1%85%A9%E1%86%B7_%E1%84%89%E1%85%A9%E1%84%8B%E1%85%A7%E1%84%8B%E1%85%B4_%E1%84%86%E1%85%A9%E1%84%92%E1%85%A5%E1%86%B7.jpeg,지경사,초4,,읽기 전,,,,,,,,,,,No,No,
허클베리 핀의 모험,,마크 트웨인,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%92%E1%85%A5%E1%84%8F%E1%85%B3%E1%86%AF%E1%84%87%E1%85%A6%E1%84%85%E1%85%B5_%E1%84%91%E1%85%B5%E1%86%AB%E1%84%8B%E1%85%B4_%E1%84%86%E1%85%A9%E1%84%92%E1%85%A5%E1%86%B7.jpeg,지경사,초4,,읽기 전,,,,,,,,,,,No,No,
지원이와 병관이 시리즈 - 칭찬 먹으로 가요,지원이와 병관이 시리즈,고대영,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%8C%E1%85%B5%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%8B%E1%85%B5%E1%84%8B%E1%85%AA_%E1%84%87%E1%85%A7%E1%86%BC%E1%84%80%E1%85%AA%E1%86%AB%E1%84%8B%E1%85%B5_%E1%84%89%E1%85%B5%E1%84%85%E1%85%B5%E1%84%8C%E1%85%B3_-_%E1%84%8E%E1%85%B5%E1%86%BC%E1%84%8E%E1%85%A1%E1%86%AB_%E1%84%86%E1%85%A5%E1%86%A8%E1%84%8B%E1%85%B3%E1%84%85%E1%85%A5_%E1%84%80%E1%85%A1%E1%84%8B%E1%85%AD.jpeg,길벗어린이,초1,,읽기 전,,,,,,,,,,,No,No,
지원이와 병관이 시리즈 - 집 안 치우기,지원이와 병관이 시리즈,고대영,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%8C%E1%85%B5%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%8B%E1%85%B5%E1%84%8B%E1%85%AA_%E1%84%87%E1%85%A7%E1%86%BC%E1%84%80%E1%85%AA%E1%86%AB%E1%84%8B%E1%85%B5_%E1%84%89%E1%85%B5%E1%84%85%E1%85%B5%E1%84%8C%E1%85%B3_-_%E1%84%8C%E1%85%B5%E1%86%B8_%E1%84%8B%E1%85%A1%E1%86%AB_%E1%84%8E%E1%85%B5%E1%84%8B%E1%85%AE%E1%84%80%E1%85%B5.jpeg,길벗어린이,초1,,읽기 전,,,,,,,,,,,No,No,
지원이와 병관이 시리즈 - 지하철을 타고서,지원이와 병관이 시리즈,고대영,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%8C%E1%85%B5%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%8B%E1%85%B5%E1%84%8B%E1%85%AA_%E1%84%87%E1%85%A7%E1%86%BC%E1%84%80%E1%85%AA%E1%86%AB%E1%84%8B%E1%85%B5_%E1%84%89%E1%85%B5%E1%84%85%E1%85%B5%E1%84%8C%E1%85%B3_-_%E1%84%8C%E1%85%B5%E1%84%92%E1%85%A1%E1%84%8E%E1%85%A5%E1%86%AF%E1%84%8B%E1%85%B3%E1%86%AF_%E1%84%90%E1%85%A1%E1%84%80%E1%85%A9%E1%84%89%E1%85%A5.jpeg,길벗어린이,초1,,읽기 전,,,,,,,,,,,No,No,
지원이와 병관이 시리즈 - 거짓말,지원이와 병관이 시리즈,고대영,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%8C%E1%85%B5%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%8B%E1%85%B5%E1%84%8B%E1%85%AA_%E1%84%87%E1%85%A7%E1%86%BC%E1%84%80%E1%85%AA%E1%86%AB%E1%84%8B%E1%85%B5_%E1%84%89%E1%85%B5%E1%84%85%E1%85%B5%E1%84%8C%E1%85%B3_-_%E1%84%80%E1%85%A5%E1%84%8C%E1%85%B5%E1%86%BA%E1%84%86%E1%85%A1%E1%86%AF.jpg,길벗어린이,초1,,읽기 전,,,,,,,,,,,No,No,
"내 멋대로 산타 뽑기. 4, 크리스마스 축제 대소동",내 멋대로 뽑기 시리즈,최은옥,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%82%E1%85%A2_%E1%84%86%E1%85%A5%E1%86%BA%E1%84%83%E1%85%A2%E1%84%85%E1%85%A9_%E1%84%89%E1%85%A1%E1%86%AB%E1%84%90%E1%85%A1_%E1%84%88%E1%85%A9%E1%86%B8%E1%84%80%E1%85%B5._4_%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%84%89%E1%85%B3%E1%84%86%E1%85%A1%E1%84%89%E1%85%B3_%E1%84%8E%E1%85%AE%E1%86%A8%E1%84%8C%E1%85%A6_%E1%84%83%E1%85%A2%E1%84%89%E1%85%A9%E1%84%83%E1%85%A9%E1%86%BC.jpg,주니어김영사,초2,,읽기 전,,,,,,,,,,,No,No,
"내 멋대로 산타 뽑기. 5, 도둑 산타를 잡아라!",내 멋대로 뽑기 시리즈,최은옥,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%82%E1%85%A2_%E1%84%86%E1%85%A5%E1%86%BA%E1%84%83%E1%85%A2%E1%84%85%E1%85%A9_%E1%84%89%E1%85%A1%E1%86%AB%E1%84%90%E1%85%A1_%E1%84%88%E1%85%A9%E1%86%B8%E1%84%80%E1%85%B5._5_%E1%84%83%E1%85%A9%E1%84%83%E1%85%AE%E1%86%A8_%E1%84%89%E1%85%A1%E1%86%AB%E1%84%90%E1%85%A1%E1%84%85%E1%85%B3%E1%86%AF_%E1%84%8C%E1%85%A1%E1%86%B8%E1%84%8B%E1%85%A1%E1%84%85%E1%85%A1!.jpg,주니어김영사,초2,,읽기 전,,,,,,,,,,,No,No,
